company_name,glusr_usr_mobile_country,mobile1,mobile2,pns_no,email_verified,mobile_verified,contact_address,city_state_zip,glusr_usr_company_desc,country_code,primary_phone,city,state,pincode,industry,,match_status
Ayaz Tanning Company,91,9840045910,,8045357945,Verified,Verified,No- 58/1 Woothucatton Street Periamet Chennai Tamil Nadu 600003, Chennai Tamil Nadu 600003,ayaz tanning company (atc) was established in 1990 to manufacture good quality leather catering to the needs and changing trends of the global leather industry. our strong commitment to deliver high quality finished leather has helped us establish a firm presence in international markets. renowned for high quality and top finish finished leather from atc is most sought after in europe and the far east.after two decades of continuous efforts commitment and consistency we have now ventured into manufacturing of many varieties of finished leathers as per swatches of buyers and their requirements we are proud of finishing any requirements orders as prescribed . our products goes in demand because of high quality of goods .&nbsp;our brand suggests that we are one of the leading manufacturers and traders of various kinds of leather products. our wide range is available in various length sizes and thus is of extensive use for making bags belts purses garments sofas furniture products &nbsp;and other products. our entire range is easily customized as per the client's specifications. these packed with high quality standards which makes our products in high demand. aimed towards meeting the clients expectations through an unparalleled range of products competitive prices as well as prompt services we atc have marked our prominence in the worldwide market segment. incepted in the year 1992 we have been strictly adhering to highest industrial standards and norms. our unwavering commitment towards quality has earned us good reputation in the market. we are recognized as one of the renowned manufacturers and exporters in this competitive industry.we carry out all our processes under the vigil eye of well experienced quality controllers who possess rich domain expertise and market know-how. they ensure that each and every activity is executed in compliance with the set industry standards. besides we have with us services of diligent sourcing agents who help us in procuring quality assured raw material/ingredients from trusted manufacturers. furthermore we have developed a wide distribution network which spans across various locations in the world.,91,9.20E+11,Chennai,Tamil Nadu,600003,Manufacturing,,MATCH
Kirthy Import & Export,91,9884099637,9840331476,8046038047,Verified,Verified,24 & 25 Soosaiya Nagar Noombal Velappanchavadi Chennai Tamil Nadu 600077, Chennai Tamil Nadu 600077,started since 1995 we kirthy import &amp; export with the vision of successfully catering to the needs of global bakeries by offering technology advanced and functionally superiors ovens and bakery machines..our company is a partnership based firm and located in tamil nadu india. moreover we are the topmost manufacturer trader and importer of this domain. our company is engaged in offering planetary mixer rotary oven deck oven restaurant kitchen equipments and many more. our offered products are well examined on various quality parameters in order to provide defect free range to our customers.,91,9.20E+11,Chennai,Tamil Nadu,600077,Manufacturing,,MATCH
Sri Patchai Amman,91,8754876632,,8046084625,Verified,Verified,No. 33/11 Mettu Street Athipet Ambattur Tiruvallur Chennai Tamil Nadu 600058, Chennai Tamil Nadu 600058,sri patchai amman & corporation company was established in the year of 2010. we are leading manufacturer and suppliers of corporate gift items calendars diaries organizer clocks watches cap cup t-shirts customized logo works mouse pads wooden items key chains pens umbrella tent crystal items house hold items bags promo certificate holder promotional badge brochure stand demo tent rubber wristband and all other various items available with us. we also do printing works. our offered gifts are precisely designed under the strict guidance of our adroit professionals using top grade basic material and modern technology. these gifts are broadly demanded among our clients for their seamless finish and attractive look. in accordance with set industry standards provided gifts are strictly examined by our quality experts on various quality parameters.,91,9.19E+11,Chennai,Tamil Nadu,600058,Manufacturing,,MATCH
SHM Ship Care,91,9789041578,9884112849,8045386934,Verified,Verified,No. 145 East Mada Church Street Chennai Tamil Nadu 600013, Chennai Tamil Nadu 600013,&ldquo;enabling freedom at sea&rdquo; stands for shm&rsquo;s commitment of offering our clients peace of mind at sea offshore and onshore. we believe in reliability trust and partnership which are vital for the industry we operate in. established in 2001 with a vision to save lives through timely delivery of quality marine safety and survival systems shm today has a network spanning over 11 port cities along the indian coast and across coasts of dubai malaysia shanghai singapore and colombo.\r\nheadquartered in mumbai shm provides a one-stop solution for both sales and services and ensures quality solutions; timely delivery of their products and services through a comprehensive infrastructure of manufacturing supplying servicing &amp; repairing (over 200000 sq. ft of warehousing and workshop facilities). our dedicated team of qualified and trained personnel ensure the &ldquo;peace of mind&rsquo;&rsquo; you have when you know that someone you trust is taking care of you. we enable our customers the freedom to operate trade travel explore innovate and excel. shm shipcare takes pride in a customer centric solution-based approach driven by incorporating the latest technologies and decades of experience.\r\n&nbsp;\r\nled by mr. saifuddin h. hajee and a strong management team of 400 professionals and industry experts shm shipcare is the largest frp boat manufacturer life-saving/fire-fighting service provider in india and aims to provide on its experience and expertise top quality solutions through its current service offering and future growth plans in india and overseas.,91,9.20E+11,Chennai,Tamil Nadu,600013,Real Estate & Construction,,MISMATCH
Sara Industrial Minerals,91,9094444146,9094444147,8071866731,Verified,Verified,40/52 Wuttucattan Street Periamet Chennai Tamil Nadu 600003, Chennai Tamil Nadu 600003,following transparent business policies along with quality-centric approach sara industrial minerals has been serving several customers throughout the world. since the establishment of company in 2011 we are a part of leading business group in the middle east countries. we are world over recognized as the leading importer exporter trader wholesaler cum supplier of silicon carbide fused alumina green silicon carbide brown fused alumina white fused alumina ilmenite garnet abrasive and copper slag. we have remained committed towards our endeavor to achieve excellence in our products and services.we have achieved this by incorporating principles of continuous improvement policies in business operations as well as products. cultivating a culture of innovation improvement and excellence in operations and products enables us to remain competitive and enter new markets with best quality products. we are consistently catering to the requirements of our clients across diverse industries owing to our good sourcing capabilities. as a trusted business entity our organization has always been offering quality services to the customers.,91,9.19E+11,Chennai,Tamil Nadu,600003,Manufacturing,,MISMATCH
Radhika Cycle Stores,91,9444875522,,8048700117,Verified,Verified,No 55b.29th Road Thiruvottiyur Chennai Tamil Nadu 600019, Chennai Tamil Nadu 600019,commenced in the year 1997 at chennai tamil nadu we &ldquo;radhika cycle stores&rdquo; are a sole proprietorship (individual) based company involved as the wholesaler and retailer of atlas bicycle sports bicycle and gear bicycle. all these products are provided to the customer after tested on various quality parameters. moreover we offer these products at competitive prices to our respected clientele within the definite time period.,91,9.19E+11,Chennai,Tamil Nadu,600019,Retail & E-Commerce,,MATCH
HIL Limited,91,9445710139,,8045358172,Verified,Verified,No. 7 No. 2A J. P. Verticals Babu Jagan Street Chennai Tamil Nadu 600106, Chennai Tamil Nadu 600106,hil limited (formerly hyderabad industries limited) is one of india&rsquo;s most respected names in the building material solutions industry. hil is a pioneer of green building materials producing roofing solutions panels walling blocks plywood substitutes high-quality pipes and fittings and industrial insulation. we are known for employing r&amp;d experts to develop technologies and processes that continually redefine industry standards leading to solutions that are cost effective and environmentally friendly.\r\n&nbsp;hil&rsquo;s green building brand aerocon includes panels for fast-track drywall substitution aac blocks plywood substitutes and advanced polymer products such as pipes and fittings with true fittm&nbsp;technology for leak-proof joints . our charminar brand is the established market leader in roofing solutions. and hil&rsquo;s durable hysil industrial thermal insulation finds a range of applications in energy-intensive industries. alongside our products we have a skilled technical support team that helps our customers benefit from solutions that use these products for maximum efficiency and effectiveness.&nbsp;our unique &ldquo;five way green&rdquo; philosophy ensures that our products and processes are environmentally friendly from end to end. we begin by choosing green raw materials with a low carbon footprint; and process them using a green manufacturing process that produces zero effluents byproducts and emissions. we also have a green energy profile with 30% of our energy needs being met from renewable sources. finally our end products are also green and can be reused and recycled for minimal environmental impact.&nbsp;hil is part of the ck birla group a growing us$1.6 billion conglomerate that has a history of enduring relationships with renowned global companies. with over 20000 employees 24 manufacturing facilities and numerous patents and awards the group&rsquo;s businesses operate in five continents.,91,9.19E+11,Chennai,Tamil Nadu,600106,Manufacturing,,MISMATCH
Piling Associates,91,9820379570,7010725649,8045316222,Verified,Verified,Nisha Plaza 164/G8 Karuneegar Street Near St. Thomas Mount Station Adambakkam Chennai Tamil Nadu 600088, Chennai Tamil Nadu 600088,we are authorised dealer for \foundation associates engineering pte ltd \ of singapore for the following main products\r\r*hydraulic vibratory hammer\r*hydraulic vibro float\r\rhydraulic vibratory hammers : both crane mounted and excavator mounted hammers are available for all applications. these hammers are suitable for driving and extracting sheet piles and tube piles / casings. excavator mounted hammers are mainly used for sheet piling because of capacity constraint. these hammers use the hydraulic power from the excavator itself and no need for a separate power pack.\r\rhydraulic vibro floats: these are mainly used for stone column building and soil stabilisation works. vibro floats increases the soil density and increasing the load bearing strength.\r\rtrive s.r.l. is an italian company skilled at designing and manufacturing crawled rigs for foundations drilling. in 35 years of trade trive have increased and improved the know-how and today they are offering a wide range of drilling machines strong affordable and able to work on different grounds. trive export machines all over the world and getting reward by repeated orders from their customers.\r\rwe have strong experience in modern piling techniques and process. we had educated small contractors and succeeded to convert them proud owners of such machines. we have strong back-up from our principals for after sales support and trouble free machines.,91,9.20E+11,Chennai,Tamil Nadu,600088,Manufacturing,,MISMATCH
Eagle Eye Fire And Safety Equipments,91,7397314076,8508767953,8048741905,Verified,Verified,No 5/418 Vallalar Street Vellakal Nanmangalam Chennai Tamil Nadu 600129, Chennai Tamil Nadu 600129,since 2017 eagle eye fire and safety equipments constantly strives to become an efficient entity of this domain by wholesaling and trading only qualitative products. the spectrum of products in which we deal includes safety shoes fire extinguisher safety jacket ear plug safety goggles safety mask disposable mask ear muff hand gloves and surgical gloves. we are a sole proprietorship (individual) owned entity which determinedly delivering only supreme quality products at most feasible rates. being headquartered at medavakkam chennai tamil nadu we always keep keen eye on every operation of business takes place at our accommodation. we are also providing fire extinguisher refilling service and more.,91,9.17E+11,Chennai,Tamil Nadu,600129,Telecommunications,,MISMATCH
Ever Bright Fancy Stores,91,9043497750,,8045356817,Verified,Verified,166 Quaid-E-Millath road Triplicane Chennai Tamil Nadu 600005, Chennai Tamil Nadu 600005,,91,9.19E+11,Chennai,Tamil Nadu,600005,Retail & E-Commerce,,MISMATCH
Super Decors & Enterprises,91,9884955593,9840255593,8048607431,Verified,Verified,No. 11/25 Syed Noor Street Mount Road Behind G. P. Road Express Avenue Mall Chennai Tamil Nadu 600002, Chennai Tamil Nadu 600002,founded in the year 1975 super decors &amp; enterprises is one of the famous names in the market. the ownership type of our company is a sole proprietorship. the head office of our business is located in chennai tamil nadu. enriched by our vast industrial experience in this business we are involved in manufacturing an enormous quality range of stage curtain automatic vertical curtain stage backdrop stage side wing and floating movie screen these products and services are highly effective. we also render installation service.,91,9.20E+11,Chennai,Tamil Nadu,600002,Manufacturing,,MISMATCH
Sudha Alloys,91,9840291348,9444948911,8071930613,Verified,Verified,No.74 4th Street Ranga Nagar Thiruneermalai Road Chennai Tamil Nadu 600044, Chennai Tamil Nadu 600044,since 20 years been fulfilling that void successfully primarily based on the solid business relationships and contacts that it has established. sudha alloys&rsquo;s reputation as a committed business partner has been firmly established and it has thereby been able to expand its customer supplier &amp; product base. we are focused on non-ferrous metals. we to build up a critical mass in these business lines so as to capitalize on our business knowledge and core competencies for the mutual benefit of our customers suppliers associates and promoters.\r\nwe are committed to provide excellent customer service and technical support through continuous investment in equipment and upgrading the skills of our manpower. in our endeavor to match the latest technological trends. our modern production unit is located in chennai &amp; has state-of-the-art plant machinery &amp; equipment. we have a proficient workforce consisting of highly qualified skilled and experienced professionals.\r\nupon receipt all raw materials are weighed sampled and analyzed in our high-tech lab. we believe in adding value with integrity and commitment as core values at the heart of all that we do. we aim to excel our wildest dreams and rest confidently in the belief that our own long-term prosperity firmly lies in effectively executing our commitments every day of our lives. we are committed to provide excellent customer service and technical support through continuous investment in equipment and upgrading the skills of our manpower.,91,9.20E+11,Chennai,Tamil Nadu,600044,Financial Services & Banking,,MATCH
Nagoore Andavar Furnitures,91,7358407624,9790831712,8048732615,Verified,Verified,No 73/ A Sivan Koil Street Mahalakshmi Nagar Chennai Tamil Nadu 600077, Chennai Tamil Nadu 600077,since 2015 &ldquo;nagoore andavar furnitures&rdquo; is working as a sole proprietorship (individual) based entity which frequently put endeavors to ship the qualitative assortment of products to the market. our regulatory bodies have selected mahalakshmi nagar chennai tamil nadu as our main headquarter. our manufacturing occupation runs under the keen observance of our experts. owing to our in-depth knowledge of this domain and highly efficient logistic unit we are timely shipping the range of products includes sofa set sofa cum bed wooden wardrobe bed mattress wardrobe cabinet dressing table plastic chair glass table wooden table and many more. we are dedicated to create a distinctive niche in the market and for this; we are constantly poising a transparent and customer-centric approach.,91,9.17E+11,Chennai,Tamil Nadu,600077,Manufacturing,,MISMATCH
Satyam Fire Protection Systems,91,9884006023,9677256622,8049442300,Verified,Verified,No. 58 Mannady Street 1st Floor Nilofer Complex Chennai Tamil Nadu 600001, Chennai Tamil Nadu 600001,commenced in the year 2006 at chennai tamil nadu we &ldquo;satyam fire protection systems&rdquo; are a sole proprietorship (individual) based company involved as the trader of fire extinguisher fire beater fire bucket fire hook fire system accessories and many more. these products range are in compliance with the defined industrial quality norms.,91,9.20E+11,Chennai,Tamil Nadu,600001,Manufacturing,,MISMATCH
Horizon Secure Private Limited,91,9840711912,8754441422,8043048008,Verified,Verified,No. 80 B-5 Shiv Apartment 2nd Floor Pillayar Kovil Street Shenoy Nagar Chennai Tamil Nadu 600030, Chennai Tamil Nadu 600030,we had started our firm in the year 2003 in name of telecomm technologies and we offered client oriented solutions in sales &amp; servicing of telecommunication products all over south india.\r\nour management has more than 20 years experience in the above field and our client &amp; market requirements had increased in the field of security products also.\r\nincorporated horizon secure private limited (hspl) in the year 2010 which will provide unified communication &amp; security solution services.\r\nhspl provides end to end services starting from consultation design installation and maintenance of network and communication services that incorporate system analysis. all the services are backed by alliances\r\nenterprises can achieve cost efficiencies and accelerated time-to-delivery by leveraging hspl&rsquo; robust global delivery model proven methodologies standardized tools and mature processes for onsite infrastructure management services (ims). hspl offers focused solutions in core infrastructure areas and leverages its proven it infrastructure assessment tool and methodologies to design solutions that are closely aligned to the client's business strategy.,91,9.20E+11,Chennai,Tamil Nadu,600030,Telecommunications,,MATCH
Saravanas Business Inc,91,7358321515,6382001676,8048745543,Verified,Verified,No.1 Alamelumangapuram Mylapore (Lm-Shird Sai Baba Temple) Chennai Tamil Nadu 600004, Chennai Tamil Nadu 600004,established in 2002 as a company that aim to conquer the industry &ldquo;b naturo organic&rdquo; involved in shipping a qualitative and diverse range of products. we are a sole proprietorship (individual) based entity backed with hi-tech manufacturing facility that enable us to develop a flawless spectrum of organic dia special rice organic basmati rice steam and idly rice organic dia organic steam organic special rice organic idly rice organic honey and organic basmati rice set. being headquartered at mylapore chennai tamil nadu we are managing all our business activities related to wholesaling. ,91,9.17E+11,Chennai,Tamil Nadu,600004,Manufacturing,,MISMATCH
Kamala Stores,91,9498025467,9445223308,8048400205,Verified,Verified,3 Nachiappan Street Mylapore Chennai Tamil Nadu 600004, Chennai Tamil Nadu 600004,,91,9.19E+11,Chennai,Tamil Nadu,600004,Retail & E-Commerce,,MISMATCH
K H  Retail Stores,91,9600076693,9940428014,8045327603,Verified,Not Verified,No. 112  High Road Periamet Chennai Tamil Nadu 600003, Chennai Tamil Nadu 600003,,91,9.20E+11,Chennai,Tamil Nadu,600003,Retail & E-Commerce,,MISMATCH
Marathon Electric India Private Limited,91,9894815453,9841646392,8045388654,Verified,Verified,No. 6 Old No. 37 Arcot Road Vadapalani Chennai Tamil Nadu 600026, Chennai Tamil Nadu 600026,since 1913 marathon electric has been dedicated to providing customers with quality products for targeted applications. headquartered in wausau wisconsin usa the company is composed of two strategic product lines: motors and generators.&nbsp;in india marathon electric delivers efficient mechanical power solutions using ac electric motors up to 4.5mw. marathon electric india has manufacturing facilities marathon electric india pvt ltd at faridabad &amp; marathon electric motors (india) ltd at kolkata. together marathon electric in india is the largest manufacturer &amp; exporter of motors. our strategic product lines include motors and fans. our range of fractional horsepower motors serves applications such as heating ventilating air-conditioning &amp; commercial refrigeration (hvac) general purpose applications evaporative coolers &amp; cooler kits washing machines &amp; wet rice grinders. our integral horsepower motors range upto 11kv serving a wide range of applications such as pumps compressors fans crushers conveyors kilns etc.we also manufacture&nbsp; propeller axial flow and centrifugal flow type of industrial fans used for various purposes.,91,9.20E+11,Chennai,Tamil Nadu,600026,Manufacturing,,MATCH
Bandi Industries,91,7904615048,,8046026597,Verified,Verified,No. 108 A Anjaneyar Koil Street Vinjiyambakkam Singaperumal Koil Chennai Tamil Nadu 603204, Chennai Tamil Nadu 603204,bandi industries was established in 2012 located in chennai. tambaram west office and sp koil&nbsp; manufacturing facility. we are the professional manufacturer &amp; trader for gate and door automatic operators in india. we can provide quality oem service for customers in the world. the products not only look great but also termite proof sound proof dust proof and monsoon proof in nature. they cost negligible in maintenance and have long service life.bandi industries will provide best products and services to customers through our vision  mission and values. the contemporary look and design of our product is the idea of skilled preparers. they have recruited a most talented and creative team of designers and artisans who develop the range using their skills and knowledge. apart no compromises on quality are done by the vendors which in return have helped us in setting a winning position in the market. we assure our patron that each and every range that is delivered from our end will provide them the complete housing solution.,91,9.18E+11,Chennai,Tamil Nadu,603204,Real Estate & Construction,,MISMATCH
Jupiter Thermals,91,8056240913,9840507893,8048083345,Verified,Verified,No. 26/5 3rd Street Bakkiathammal Nagar Padi Chennai Tamil Nadu 600050, Chennai Tamil Nadu 600050,established in the year 2015 at chennai tamil nadu we &ldquo;jupiter thermals&rdquo; are partnership based firm involved as the manufacturer of industrial furnace drying oven hot air generator and many more. offered product range is in compliance with the defined industrial quality norms. by using the latest technology we are also engaged in rendering pipe lining work furnace repairing work and others. under the skilled guidance of &ldquo;k. balamurugan (partner)&rdquo; we have achieved a unique position in the market.,91,9.18E+11,Chennai,Tamil Nadu,600050,Manufacturing,,MATCH
